,cpd00001__91__c0__93__,cpd00002__91__c0__93__,cpd00003__91__c0__93__,cpd00004__91__c0__93__,cpd00007__91__c0__93__,cpd00008__91__c0__93__,cpd00009__91__c0__93__,cpd00010__91__c0__93__,cpd00011__91__c0__93__,cpd00012__91__c0__93__,cpd00013__91__c0__93__,cpd00020__91__c0__93__,cpd00022__91__c0__93__,cpd00023__91__c0__93__,cpd00024__91__c0__93__,cpd00029__91__c0__93__,cpd00032__91__c0__93__,cpd00033__91__c0__93__,cpd00036__91__c0__93__,cpd00039__91__e0__93__,cpd00042__91__c0__93__,cpd00051__91__c0__93__,cpd00054__91__c0__93__,cpd00056__91__c0__93__,cpd00060__91__e0__93__,cpd00064__91__c0__93__,cpd00065__91__e0__93__,cpd00066__91__c0__93__,cpd00067__91__c0__93__,cpd00067__91__e0__93__,cpd00069__91__e0__93__,cpd00084__91__c0__93__,cpd00102__91__c0__93__,cpd00107__91__e0__93__,cpd00119__91__e0__93__,cpd00129__91__e0__93__,cpd00156__91__c0__93__,cpd00322__91__e0__93__,cpdUS12__91__c0__93__,cpd00007__91__e0__93__,cpd00009__91__e0__93__,cpd00011__91__e0__93__,cpd00013__91__e0__93__,cpd00035__91__e0__93__,cpd00041__91__e0__93__,cpd00048__91__e0__93__,cpd00076__91__e0__93__,cpd00130__91__e0__93__,cpd00155__91__c0__93__,cpd00214__91__c0__93__,cpd00227__91__e0__93__,cpd00281__91__e0__93__,cpd00421__91__c0__93__,cpd00528__91__e0__93__,cpd11640__91__e0__93__,cpd12836__91__c0__93__,cpdPG6__91__c0__93__,objective
839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-200,0,0,0,0,0,0,0,0,0,-575,-600,1450/3,0,850/3,0,0,0,0,100/13,0,0,-850/3,200,0,0,1,0,0
840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-283/2,0,0,0,0,0,0,0,0,0,-293/12,-31/9,1306/9,0,0,0,0,0,-131/2,0,0,0,-21/2,0,0,0,0,31/9,0
841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5/2,0,0,0,0,0,0,0,0,0,-1439/276,-29/69,1733/138,0,0,0,0,-367/92,0,1043/3588,0,0,-5/2,0,0,0,0,29/69,0
842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-53/456,0,1/9,0,0,5/76,0,-1/36,0,0,0,0,-5/152,0,-5/304,5/304,1/1800,0,5/304
843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5/3,0,6,2/3,0,0,0,-1/9,0,0,2/3,0,-2/3,0,0,0,0,0,0
844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7/3,-1/2,307/36,19/36,0,19/36,0,-305/144,0,0,0,0,-19/18,0,0,0,0,1/2,0
845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-59/2,0,19/2,0,0,23,0,0,-23/2,19/52,0,0,-21,0,-1,1,0,0,1
846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-497/6666,0,0,0,0,0,0,0,0,0,-65/606,0,2/11,0,0,0,0,0,0,0,0,0,0,0,-71/4444,71/4444,0,0,71/4444
847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-510/71,0,0,0,0,0,0,0,0,0,-573/71,0,736/71,0,0,2,0,0,0,0,0,0,0,0,-1,1,0,0,1
848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1073/71,0,0,0,0,0,0,0,0,0,-369/71,0,1152/71,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
